TransactionID,OrderDate,Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,Rating
1410,2020-03-19,North America,Microsoft,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,32,1024,Windows 11,White,Retail Store,Credit Card,1396.05,5,1326.25,3,3978.75,Gamer,2
1411,2020-11-25,North America,Lenovo,Desktop,M1,NVIDIA GTX 1650,8,1024,macOS,Black,Retail Store,Debit Card,558.82,5,530.88,3,1592.64,Enterprise,3
1412,2022-01-08,North America,Apple,Laptop,Ryzen 3,Intel Iris,8,256,macOS,Black,Reseller,Bank Transfer,1912.91,0,1912.91,2,3825.82,Gamer,5
1413,2024-04-07,Europe,HP,Gaming Laptop,Ryzen 9,NVIDIA RTX 3060,16,1024,Windows 11,White,Online,PayPal,2635.92,5,2504.12,1,2504.12,Enterprise,5
1414,2021-09-08,North America,Razer,Desktop,i3,NVIDIA GTX 1650,32,256,Linux,Silver,Online,Debit Card,1521.7,15,1293.44,3,3880.32,Gamer,3
1415,2024-06-02,North America,Apple,Laptop,i7,NVIDIA GTX 1650,32,1024,macOS,Gray,Reseller,PayPal,2896.09,10,2606.48,1,2606.48,Professional,5
1416,2023-05-21,North America,Apple,All-in-One,Ryzen 9,Intel Iris,32,512,macOS,Blue,Online,Debit Card,446.77,20,357.42,2,714.84,Enterprise,3
1417,2022-12-24,North America,Apple,Gaming Laptop,i5,NVIDIA RTX 3060,32,512,macOS,Black,Online,Debit Card,1844.17,5,1751.96,1,1751.96,Enterprise,4
1418,2021-06-10,North America,Acer,All-in-One,i7,NVIDIA RTX 3060,8,1024,Linux,Silver,Online,PayPal,2690.11,0,2690.11,1,2690.11,Student,3
1419,2021-02-21,Asia-Pacific,Razer,Desktop,M2,Intel UHD,32,2048,Windows 10,Blue,Retail Store,Credit Card,842.63,15,716.24,1,716.24,Enterprise,3
1420,2021-12-20,North America,Razer,Gaming Laptop,Ryzen 7,Intel Iris,4,2048,Windows 11,White,Online,Credit Card,2573.48,0,2573.48,1,2573.48,Student,5
1421,2020-09-26,North America,Asus,Gaming Laptop,i9,NVIDIA RTX 3060,8,512,Windows 11,White,Online,Bank Transfer,1174.48,15,998.31,1,998.31,Student,1
1422,2023-07-22,Europe,Lenovo,Desktop,Ryzen 9,NVIDIA RTX 2060,16,2048,Windows 10,Black,Retail Store,Bank Transfer,1130.57,0,1130.57,3,3391.71,Professional,4
1423,2020-10-07,Europe,Asus,Gaming Laptop,i3,Intel UHD,8,2048,macOS,Blue,Retail Store,Debit Card,851.01,10,765.91,2,1531.82,Professional,1
1424,2021-09-13,North America,Asus,All-in-One,i5,Intel UHD,16,256,macOS,Black,Retail Store,PayPal,2908.99,10,2618.09,1,2618.09,Enterprise,3
1425,2023-08-04,North America,Asus,All-in-One,i7,NVIDIA RTX 2060,32,1024,Linux,Silver,Retail Store,PayPal,1639.18,15,1393.3,1,1393.3,Professional,5
1426,2020-09-25,North America,Acer,All-in-One,i5,NVIDIA RTX 2060,16,256,macOS,Blue,Reseller,Debit Card,1730.15,15,1470.63,1,1470.63,Professional,3
1427,2024-03-21,Asia-Pacific,HP,Laptop,i7,NVIDIA GTX 1650,32,1024,Windows 11,Silver,Online,PayPal,1093.18,10,983.86,1,983.86,Enterprise,4
1428,2023-02-22,Europe,Asus,All-in-One,M2,NVIDIA GTX 1650,4,512,Linux,Silver,Retail Store,Debit Card,1333.23,10,1199.91,3,3599.73,Gamer,5
1429,2025-01-24,Asia-Pacific,Lenovo,Gaming Laptop,Ryzen 9,Intel Iris,32,1024,Windows 11,Gray,Online,PayPal,564.37,0,564.37,1,564.37,Enterprise,4
1430,2020-04-10,Asia-Pacific,Acer,Desktop,i5,NVIDIA RTX 2060,8,1024,macOS,White,Online,Bank Transfer,2428.6,20,1942.88,1,1942.88,Student,3
1431,2022-03-24,Asia-Pacific,Microsoft,Laptop,Ryzen 3,NVIDIA RTX 2060,4,1024,Linux,Gray,Online,Bank Transfer,977.54,20,782.03,3,2346.09,Student,4
1432,2025-10-11,Asia-Pacific,Microsoft,Laptop,M1,NVIDIA RTX 2060,32,1024,macOS,Blue,Online,Bank Transfer,2729.85,15,2320.37,1,2320.37,Student,3
1433,2020-12-07,Asia-Pacific,Acer,Laptop,M1,NVIDIA GTX 1650,4,512,Windows 10,Black,Reseller,PayPal,1577.31,5,1498.44,3,4495.32,Enterprise,1
1434,2022-11-14,Asia-Pacific,MSI,All-in-One,i3,NVIDIA GTX 1650,16,2048,Windows 11,Black,Online,Debit Card,2357.54,15,2003.91,1,2003.91,Gamer,3
1435,2024-01-03,Europe,Razer,Desktop,i9,Intel UHD,32,2048,Linux,Black,Reseller,Debit Card,2131.27,0,2131.27,2,4262.54,Professional,2
1436,2025-07-03,Europe,Microsoft,All-in-One,M2,AMD Radeon Vega,4,256,macOS,White,Retail Store,PayPal,2404.85,15,2044.12,3,6132.36,Professional,5
1437,2024-05-19,Europe,Razer,Laptop,Ryzen 7,NVIDIA RTX 2060,32,512,Windows 11,White,Reseller,Bank Transfer,1192.17,5,1132.56,3,3397.68,Gamer,1
1438,2023-11-15,Asia-Pacific,Apple,Gaming Laptop,i3,AMD Radeon Vega,16,512,macOS,Black,Retail Store,Bank Transfer,761.4,0,761.4,3,2284.2,Student,5
1439,2024-11-30,Europe,MSI,Laptop,Ryzen 7,NVIDIA RTX 2060,8,256,Windows 11,Black,Retail Store,Debit Card,2382.6,15,2025.21,1,2025.21,Professional,5
1440,2023-12-11,Asia-Pacific,Dell,Desktop,Ryzen 9,Intel UHD,32,1024,Windows 11,Black,Retail Store,Credit Card,2911.02,5,2765.47,1,2765.47,Gamer,3
1441,2025-08-27,Asia-Pacific,Acer,Desktop,Ryzen 7,NVIDIA RTX 3060,8,256,macOS,Silver,Online,Debit Card,936.24,20,748.99,3,2246.97,Enterprise,3
1442,2021-07-12,Asia-Pacific,Razer,Laptop,i5,NVIDIA GTX 1650,32,2048,macOS,Black,Reseller,PayPal,469.64,15,399.19,3,1197.57,Gamer,2
1443,2022-05-13,North America,Apple,Gaming Laptop,M2,NVIDIA RTX 3060,8,1024,macOS,Silver,Online,Debit Card,1003.2,20,802.56,3,2407.68,Student,4
1444,2021-11-20,Asia-Pacific,Samsung,Laptop,Ryzen 7,NVIDIA RTX 2060,32,2048,Windows 10,Black,Retail Store,Credit Card,2880.01,10,2592.01,3,7776.03,Student,4
1445,2024-01-18,Asia-Pacific,Acer,Desktop,M1,Intel UHD,4,512,macOS,Black,Reseller,Debit Card,2842.65,0,2842.65,1,2842.65,Gamer,3
1446,2021-05-29,North America,MSI,Laptop,i9,Intel UHD,4,2048,Windows 10,White,Retail Store,Debit Card,814.27,5,773.56,3,2320.68,Enterprise,3
1447,2025-07-02,Asia-Pacific,Apple,Laptop,i3,NVIDIA RTX 2060,8,1024,macOS,Blue,Reseller,PayPal,2873.66,5,2729.98,3,8189.94,Student,1
1448,2023-05-02,Europe,Samsung,Laptop,Ryzen 7,NVIDIA RTX 3060,32,256,Windows 10,Silver,Online,Credit Card,845.88,15,719,2,1438,Professional,1
1449,2022-04-16,North America,Razer,Laptop,Ryzen 9,Intel UHD,32,512,Windows 11,Silver,Retail Store,Bank Transfer,2148.55,10,1933.7,2,3867.4,Professional,3
1450,2021-05-19,Europe,Samsung,All-in-One,i3,Intel UHD,4,1024,Windows 11,Gray,Online,Bank Transfer,2507.32,5,2381.95,2,4763.9,Student,5
1451,2023-11-03,North America,HP,Desktop,Ryzen 9,NVIDIA GTX 1650,4,512,Windows 11,Blue,Reseller,Credit Card,1833.43,10,1650.09,3,4950.27,Professional,5
1452,2022-12-29,Europe,MSI,Laptop,i7,NVIDIA GTX 1650,32,1024,Windows 11,Gray,Online,Bank Transfer,745.69,10,671.12,1,671.12,Enterprise,5
1453,2024-08-25,North America,Samsung,All-in-One,Ryzen 5,NVIDIA GTX 1650,8,2048,Windows 10,Silver,Online,PayPal,2550.38,10,2295.34,3,6886.02,Gamer,4
1454,2023-08-22,North America,Samsung,Gaming Laptop,Ryzen 3,AMD Radeon Vega,32,512,Linux,Black,Retail Store,Bank Transfer,2997.56,5,2847.68,1,2847.68,Gamer,5
1455,2025-09-01,Asia-Pacific,Samsung,All-in-One,Ryzen 3,NVIDIA RTX 3060,8,1024,Windows 10,Silver,Online,Credit Card,1911.84,20,1529.47,2,3058.94,Enterprise,2
1456,2023-11-10,Asia-Pacific,Samsung,All-in-One,i7,Intel Iris,8,256,Linux,White,Reseller,Bank Transfer,1397.96,15,1188.27,1,1188.27,Professional,2
1457,2024-09-23,Europe,Microsoft,Desktop,M2,AMD Radeon Vega,8,1024,Windows 11,White,Retail Store,Bank Transfer,2353.89,15,2000.81,2,4001.62,Gamer,5
1458,2024-06-13,North America,Apple,All-in-One,i3,NVIDIA GTX 1650,4,512,macOS,Gray,Reseller,Debit Card,1062.5,5,1009.38,1,1009.38,Student,3
1459,2022-06-18,North America,Razer,Desktop,M2,Intel UHD,8,2048,Windows 11,Gray,Online,Bank Transfer,425.59,0,425.59,1,425.59,Gamer,2
1460,2024-05-23,Asia-Pacific,Dell,Gaming Laptop,i9,Intel UHD,4,512,macOS,White,Retail Store,PayPal,1181.35,0,1181.35,1,1181.35,Professional,5
1461,2020-02-05,Europe,HP,Laptop,M2,NVIDIA RTX 3060,16,2048,Linux,Gray,Reseller,Debit Card,1172.52,5,1113.89,2,2227.78,Student,5
1462,2022-03-21,North America,Asus,Gaming Laptop,i9,Intel UHD,32,2048,Linux,White,Reseller,Bank Transfer,1982.44,0,1982.44,3,5947.32,Professional,5
1463,2025-05-04,Asia-Pacific,Lenovo,Gaming Laptop,Ryzen 7,NVIDIA RTX 3060,4,256,Windows 11,Black,Retail Store,Bank Transfer,1632.03,10,1468.83,1,1468.83,Gamer,1
1464,2022-03-11,Asia-Pacific,Microsoft,Gaming Laptop,Ryzen 9,Intel Iris,4,1024,macOS,Black,Reseller,Debit Card,1044.56,10,940.1,2,1880.2,Enterprise,2
1465,2021-09-02,North America,Asus,All-in-One,M2,NVIDIA GTX 1650,4,256,Linux,Silver,Online,Bank Transfer,534.76,15,454.55,2,909.1,Enterprise,1
1466,2024-12-18,North America,Microsoft,Laptop,M2,AMD Radeon Vega,4,512,Windows 11,White,Reseller,Credit Card,2207.03,20,1765.62,3,5296.86,Professional,5
1467,2023-10-25,Europe,Asus,Desktop,Ryzen 9,Intel UHD,16,512,Windows 11,Gray,Reseller,Credit Card,2506.95,10,2256.26,2,4512.52,Enterprise,4
1468,2024-01-01,Europe,Lenovo,All-in-One,M1,NVIDIA RTX 2060,8,1024,Windows 11,Blue,Retail Store,Credit Card,2964.76,0,2964.76,3,8894.28,Student,4
1469,2021-08-21,Asia-Pacific,Lenovo,Gaming Laptop,i5,NVIDIA RTX 2060,8,1024,Windows 11,Gray,Online,Credit Card,603.99,10,543.59,2,1087.18,Enterprise,5
1470,2022-04-22,North America,Apple,Gaming Laptop,M1,AMD Radeon Vega,4,256,macOS,White,Retail Store,PayPal,1234.5,15,1049.33,2,2098.66,Professional,5
1471,2022-02-02,Asia-Pacific,Dell,All-in-One,i3,AMD Radeon Vega,32,256,Linux,Black,Reseller,PayPal,531.5,0,531.5,3,1594.5,Enterprise,3
1472,2021-10-11,North America,Samsung,Gaming Laptop,i3,Intel Iris,8,256,Windows 11,White,Retail Store,Bank Transfer,2491.11,0,2491.11,3,7473.33,Professional,1
1473,2020-02-08,North America,Samsung,Gaming Laptop,M1,NVIDIA RTX 3060,16,256,Linux,Silver,Retail Store,PayPal,2116.19,20,1692.95,3,5078.85,Professional,5
1474,2023-07-21,Asia-Pacific,Apple,Laptop,Ryzen 7,NVIDIA GTX 1650,32,512,macOS,Silver,Online,Credit Card,2654.07,5,2521.37,2,5042.74,Professional,5
1475,2024-02-09,Europe,Acer,Gaming Laptop,i3,NVIDIA RTX 3060,32,2048,Windows 10,Black,Reseller,Debit Card,510.69,20,408.55,3,1225.65,Student,1
1476,2023-03-22,Asia-Pacific,Razer,Laptop,M1,AMD Radeon Vega,8,256,macOS,Black,Online,PayPal,638.88,5,606.94,2,1213.88,Enterprise,5
1477,2025-07-31,Europe,Samsung,Laptop,Ryzen 5,Intel Iris,8,512,Linux,Blue,Online,PayPal,2111.16,0,2111.16,3,6333.48,Gamer,2
1478,2022-05-15,North America,Lenovo,Gaming Laptop,i9,NVIDIA RTX 3060,4,2048,Linux,Gray,Retail Store,Credit Card,1641.26,10,1477.13,2,2954.26,Professional,2
1479,2023-04-18,North America,MSI,Laptop,Ryzen 3,NVIDIA RTX 2060,16,512,Windows 10,Blue,Online,Bank Transfer,1899.11,15,1614.24,2,3228.48,Professional,2
1480,2024-07-19,Europe,Razer,All-in-One,i3,NVIDIA GTX 1650,4,512,Windows 11,Gray,Online,Debit Card,2347.5,0,2347.5,3,7042.5,Enterprise,4
1481,2022-01-04,Asia-Pacific,MSI,Laptop,i9,NVIDIA RTX 2060,4,1024,Linux,Black,Retail Store,Bank Transfer,2813.13,0,2813.13,2,5626.26,Professional,4
1482,2024-08-20,North America,Apple,Laptop,i7,AMD Radeon Vega,4,2048,macOS,White,Online,Credit Card,1091.55,0,1091.55,3,3274.65,Professional,5
1483,2022-03-25,North America,Razer,Laptop,i7,Intel UHD,4,512,Windows 11,Gray,Online,Debit Card,1348.57,0,1348.57,3,4045.71,Gamer,3
1484,2020-05-13,Asia-Pacific,MSI,Gaming Laptop,i9,Intel UHD,32,256,Windows 11,Silver,Retail Store,PayPal,528.8,20,423.04,2,846.08,Gamer,3
1485,2022-05-24,Asia-Pacific,Apple,Gaming Laptop,Ryzen 3,AMD Radeon Vega,8,256,macOS,Gray,Retail Store,Debit Card,1229.46,20,983.57,3,2950.71,Student,1
1486,2022-10-22,Asia-Pacific,Lenovo,Laptop,M1,NVIDIA RTX 3060,16,1024,Linux,Blue,Retail Store,Debit Card,1776.42,10,1598.78,2,3197.56,Professional,5
1487,2020-02-07,Asia-Pacific,Apple,Desktop,i5,NVIDIA RTX 2060,32,256,macOS,Silver,Retail Store,Credit Card,1218.73,15,1035.92,2,2071.84,Gamer,2
1488,2023-06-15,Europe,Samsung,All-in-One,i3,NVIDIA RTX 2060,16,2048,Windows 10,Black,Online,Debit Card,2645.6,5,2513.32,2,5026.64,Enterprise,1
1489,2025-05-26,Europe,Samsung,Gaming Laptop,i3,Intel UHD,8,256,macOS,Black,Retail Store,Bank Transfer,576.41,5,547.59,3,1642.77,Student,3
1490,2021-10-11,Europe,Lenovo,Gaming Laptop,M1,NVIDIA RTX 2060,16,512,Windows 10,Silver,Reseller,PayPal,866.03,10,779.43,1,779.43,Enterprise,4
1491,2023-12-23,Asia-Pacific,Acer,Laptop,Ryzen 7,NVIDIA GTX 1650,8,256,macOS,White,Online,PayPal,2168.02,10,1951.22,3,5853.66,Gamer,1
1492,2024-09-16,Asia-Pacific,Dell,All-in-One,Ryzen 7,AMD Radeon Vega,32,512,macOS,Silver,Online,PayPal,1517.18,15,1289.6,1,1289.6,Gamer,3
1493,2024-01-25,Asia-Pacific,Samsung,All-in-One,Ryzen 7,NVIDIA RTX 3060,16,2048,Windows 10,Blue,Reseller,Credit Card,527.86,5,501.47,1,501.47,Enterprise,2
1494,2025-02-18,North America,Dell,Desktop,i7,Intel UHD,32,2048,macOS,Blue,Online,Debit Card,1028.93,5,977.48,1,977.48,Professional,5
1495,2023-03-14,Europe,Acer,Gaming Laptop,i3,Intel Iris,16,512,Windows 11,White,Reseller,Debit Card,2384.03,15,2026.43,2,4052.86,Enterprise,2
1496,2022-01-10,Europe,MSI,Desktop,M2,AMD Radeon Vega,8,1024,Windows 11,Silver,Online,Credit Card,2094.43,0,2094.43,1,2094.43,Enterprise,1
1497,2025-08-12,North America,Microsoft,Desktop,i9,Intel Iris,16,512,macOS,Black,Reseller,Debit Card,952.29,10,857.06,2,1714.12,Student,4
1498,2022-10-02,Europe,Apple,Laptop,Ryzen 5,NVIDIA GTX 1650,16,512,macOS,Blue,Reseller,Credit Card,2731.42,0,2731.42,2,5462.84,Professional,5
1499,2023-09-05,North America,Dell,Laptop,i3,AMD Radeon Vega,16,512,Linux,Silver,Online,Bank Transfer,954.95,5,907.2,1,907.2,Gamer,4
1500,2023-10-08,Europe,Asus,Desktop,i5,NVIDIA RTX 2060,32,2048,Windows 10,Black,Online,PayPal,2814.31,15,2392.16,1,2392.16,Student,2
1501,2020-04-26,Europe,Lenovo,Gaming Laptop,M2,NVIDIA GTX 1650,16,512,Windows 11,Blue,Reseller,PayPal,2038.45,0,2038.45,3,6115.35,Student,2
1502,2024-11-03,Europe,Acer,Laptop,Ryzen 7,NVIDIA RTX 2060,8,2048,macOS,Black,Retail Store,Debit Card,1578.95,5,1500,2,3000,Student,1
1503,2024-11-17,North America,Microsoft,Desktop,M1,AMD Radeon Vega,32,1024,macOS,Blue,Retail Store,PayPal,2859.25,0,2859.25,2,5718.5,Gamer,5
1504,2020-04-16,North America,Dell,Desktop,M2,AMD Radeon Vega,16,256,Linux,White,Reseller,PayPal,1069.99,20,855.99,2,1711.98,Enterprise,1
1505,2022-03-10,Europe,Razer,Desktop,i7,NVIDIA RTX 2060,16,512,Linux,Blue,Online,Debit Card,731.65,5,695.07,3,2085.21,Student,2
1506,2020-08-15,Asia-Pacific,Samsung,Laptop,i5,NVIDIA GTX 1650,16,512,macOS,Silver,Reseller,Bank Transfer,1053.84,0,1053.84,3,3161.52,Gamer,2
1507,2024-04-14,North America,Asus,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,8,1024,Windows 11,Blue,Online,Debit Card,1434,15,1218.9,3,3656.7,Professional,2
1508,2020-08-27,Europe,Samsung,All-in-One,i3,NVIDIA GTX 1650,4,2048,macOS,Silver,Reseller,PayPal,1757.61,15,1493.97,3,4481.91,Enterprise,4
1509,2021-08-22,Europe,MSI,Gaming Laptop,Ryzen 7,Intel UHD,32,2048,macOS,White,Online,Credit Card,2021.18,20,1616.94,2,3233.88,Gamer,2
1510,2020-01-24,North America,Microsoft,Laptop,i3,NVIDIA RTX 3060,8,2048,Windows 10,Black,Retail Store,PayPal,617.55,15,524.92,1,524.92,Enterprise,3
1511,2022-12-29,Asia-Pacific,MSI,All-in-One,Ryzen 3,NVIDIA GTX 1650,32,1024,Linux,Black,Online,PayPal,1252.22,10,1127,2,2254,Gamer,4
1512,2020-06-27,Europe,Lenovo,Laptop,i3,NVIDIA RTX 2060,16,2048,Linux,Gray,Online,Bank Transfer,2501.73,5,2376.64,2,4753.28,Gamer,3
1513,2025-03-15,Europe,Apple,Laptop,i7,Intel Iris,16,1024,macOS,Blue,Retail Store,Credit Card,1076.03,20,860.82,3,2582.46,Professional,2
1514,2020-07-16,North America,Samsung,All-in-One,M1,NVIDIA RTX 2060,8,1024,Windows 10,Blue,Online,Debit Card,2533.51,0,2533.51,3,7600.53,Gamer,2
1515,2020-05-30,North America,Razer,Gaming Laptop,Ryzen 3,Intel Iris,32,256,Windows 11,White,Reseller,Debit Card,850.73,10,765.66,3,2296.98,Student,5
1516,2024-02-15,Europe,Dell,Desktop,Ryzen 3,AMD Radeon Vega,32,256,Windows 10,White,Retail Store,Debit Card,2541.55,15,2160.32,3,6480.96,Enterprise,3
1517,2020-05-11,North America,Samsung,Gaming Laptop,i5,Intel Iris,32,1024,macOS,Blue,Online,PayPal,1769.23,10,1592.31,2,3184.62,Gamer,4
1518,2025-05-04,Europe,Samsung,Laptop,M2,NVIDIA GTX 1650,8,1024,Linux,White,Online,Debit Card,2159.76,10,1943.78,3,5831.34,Gamer,1
1519,2021-03-10,North America,Razer,Gaming Laptop,Ryzen 3,Intel Iris,8,256,Windows 10,Gray,Reseller,PayPal,1319.81,20,1055.85,3,3167.55,Student,4
1520,2023-12-01,North America,Acer,Desktop,i3,Intel Iris,32,2048,Windows 10,Gray,Reseller,PayPal,1625.03,20,1300.02,2,2600.04,Student,3
1521,2022-09-21,North America,Samsung,All-in-One,Ryzen 3,AMD Radeon Vega,8,256,Windows 11,White,Retail Store,PayPal,1702.24,5,1617.13,3,4851.39,Student,5
1522,2025-04-18,Europe,HP,Desktop,i9,Intel Iris,4,1024,Linux,Gray,Online,Bank Transfer,2278.69,15,1936.89,3,5810.67,Gamer,4
1523,2025-08-03,Europe,Samsung,Desktop,i5,NVIDIA RTX 2060,4,2048,Windows 11,Black,Retail Store,Credit Card,1447.42,20,1157.94,1,1157.94,Student,4
1524,2024-08-31,Asia-Pacific,Samsung,Desktop,Ryzen 3,Intel Iris,16,1024,Linux,White,Online,Bank Transfer,1864.13,15,1584.51,3,4753.53,Professional,2
1525,2021-04-15,North America,MSI,Desktop,i9,AMD Radeon Vega,4,2048,Linux,Silver,Online,Bank Transfer,2024.15,20,1619.32,1,1619.32,Student,1
1526,2022-09-30,Asia-Pacific,Microsoft,Gaming Laptop,Ryzen 3,AMD Radeon Vega,4,1024,Linux,Gray,Online,Bank Transfer,2505.79,15,2129.92,3,6389.76,Gamer,4
1527,2024-05-16,Europe,Apple,Desktop,M2,NVIDIA RTX 3060,4,256,macOS,Black,Retail Store,Credit Card,2591.78,5,2462.19,2,4924.38,Enterprise,4
1528,2022-03-29,Asia-Pacific,Lenovo,Gaming Laptop,Ryzen 5,NVIDIA RTX 3060,8,2048,Linux,White,Reseller,Bank Transfer,2549.61,5,2422.13,3,7266.39,Gamer,2
1529,2025-10-17,Asia-Pacific,Lenovo,Desktop,i3,AMD Radeon Vega,32,256,Linux,Black,Online,Credit Card,792.44,20,633.95,2,1267.9,Student,3
1530,2024-02-26,Asia-Pacific,Dell,Laptop,i7,NVIDIA RTX 3060,4,512,Linux,Black,Retail Store,Bank Transfer,2520.25,0,2520.25,3,7560.75,Student,1
1531,2022-05-04,North America,MSI,Desktop,i9,NVIDIA RTX 2060,8,2048,Windows 11,White,Reseller,Bank Transfer,1838.53,5,1746.6,1,1746.6,Enterprise,5
1532,2024-05-30,Europe,Lenovo,Desktop,Ryzen 5,Intel UHD,32,1024,Linux,Silver,Online,PayPal,1596.63,20,1277.3,2,2554.6,Enterprise,4
1533,2025-05-17,North America,MSI,All-in-One,i9,AMD Radeon Vega,8,512,Windows 10,Black,Reseller,PayPal,660.39,10,594.35,2,1188.7,Gamer,1
1534,2024-04-30,Europe,HP,Laptop,M1,NVIDIA RTX 2060,16,1024,Windows 11,White,Online,Credit Card,1084.86,10,976.37,2,1952.74,Student,3
1535,2021-09-08,North America,Acer,All-in-One,i3,AMD Radeon Vega,8,512,Windows 10,Blue,Reseller,Bank Transfer,2942.22,10,2648,1,2648,Student,3
1536,2025-06-07,Asia-Pacific,Microsoft,Laptop,i3,NVIDIA RTX 3060,32,2048,Linux,Gray,Reseller,PayPal,1798.09,5,1708.19,1,1708.19,Enterprise,4
1537,2023-08-20,Asia-Pacific,Acer,Gaming Laptop,Ryzen 7,NVIDIA RTX 2060,4,512,macOS,Gray,Online,Credit Card,2530.45,15,2150.88,3,6452.64,Gamer,2
1538,2023-11-08,North America,Razer,Gaming Laptop,Ryzen 9,Intel Iris,8,256,Linux,Silver,Reseller,Debit Card,1323.17,15,1124.69,2,2249.38,Gamer,2
1539,2024-10-03,North America,Samsung,All-in-One,M1,AMD Radeon Vega,4,512,Windows 11,Gray,Reseller,PayPal,1868.83,0,1868.83,2,3737.66,Professional,2
1540,2022-02-07,North America,HP,Gaming Laptop,i5,NVIDIA RTX 2060,4,1024,macOS,White,Retail Store,Bank Transfer,2029.75,10,1826.78,3,5480.34,Student,4
1541,2025-05-18,North America,Acer,Gaming Laptop,Ryzen 7,NVIDIA RTX 2060,32,512,macOS,White,Retail Store,PayPal,2290.6,10,2061.54,3,6184.62,Student,4
1542,2020-08-26,Europe,Razer,Laptop,Ryzen 7,Intel UHD,4,1024,Linux,White,Reseller,Credit Card,434.13,5,412.42,1,412.42,Gamer,5
1543,2025-01-09,Asia-Pacific,Dell,Gaming Laptop,i5,Intel Iris,16,2048,macOS,Gray,Reseller,Debit Card,1405.17,0,1405.17,3,4215.51,Gamer,4
1544,2020-03-30,Europe,Lenovo,Desktop,M2,AMD Radeon Vega,32,1024,Windows 11,Silver,Retail Store,PayPal,2127.54,5,2021.16,1,2021.16,Student,5
1545,2023-03-19,Asia-Pacific,Razer,All-in-One,i7,Intel UHD,32,2048,Windows 11,Blue,Retail Store,Bank Transfer,1576.29,0,1576.29,3,4728.87,Student,1
1546,2025-10-13,North America,Apple,All-in-One,i9,NVIDIA GTX 1650,8,256,macOS,Silver,Retail Store,Credit Card,749.51,5,712.03,1,712.03,Student,2
1547,2024-01-13,Asia-Pacific,MSI,All-in-One,M1,Intel Iris,32,1024,Linux,Blue,Reseller,Credit Card,2004.71,0,2004.71,1,2004.71,Enterprise,2
1548,2022-12-24,Asia-Pacific,Acer,Gaming Laptop,Ryzen 7,Intel UHD,16,256,macOS,Black,Retail Store,PayPal,2003.63,5,1903.45,1,1903.45,Gamer,3
1549,2021-11-08,Europe,Acer,Desktop,Ryzen 7,Intel UHD,32,512,Windows 10,Black,Reseller,PayPal,1673,5,1589.35,2,3178.7,Gamer,5
1550,2020-10-14,Asia-Pacific,Apple,Gaming Laptop,M2,Intel Iris,8,2048,macOS,Gray,Reseller,Credit Card,2181.8,15,1854.53,2,3709.06,Student,2
1551,2022-06-15,Asia-Pacific,Apple,Laptop,i7,AMD Radeon Vega,16,1024,macOS,Gray,Reseller,Bank Transfer,565.22,5,536.96,2,1073.92,Gamer,2
1552,2023-01-27,North America,Samsung,Desktop,M2,Intel UHD,32,512,macOS,Gray,Retail Store,Credit Card,2887.43,0,2887.43,2,5774.86,Enterprise,4
1553,2024-06-22,Europe,Razer,Desktop,i7,NVIDIA GTX 1650,4,1024,Windows 10,White,Retail Store,PayPal,2211.37,20,1769.1,2,3538.2,Professional,1
1554,2020-10-21,North America,Lenovo,Gaming Laptop,i3,NVIDIA RTX 3060,16,512,macOS,White,Online,Credit Card,1546.11,15,1314.19,2,2628.38,Enterprise,5
1555,2020-10-13,North America,Lenovo,Laptop,M1,NVIDIA RTX 2060,4,1024,Windows 11,Black,Retail Store,Debit Card,935.94,0,935.94,2,1871.88,Gamer,4
1556,2023-06-13,Asia-Pacific,Microsoft,Desktop,i5,Intel UHD,4,2048,Linux,White,Retail Store,Bank Transfer,653.03,20,522.42,3,1567.26,Enterprise,2
1557,2020-08-12,Europe,MSI,Laptop,Ryzen 7,AMD Radeon Vega,8,2048,Windows 10,Gray,Retail Store,Debit Card,2537.12,5,2410.26,1,2410.26,Professional,1
1558,2020-02-28,Europe,Lenovo,Laptop,i7,Intel Iris,8,2048,Windows 10,Gray,Online,Debit Card,2673.12,10,2405.81,3,7217.43,Enterprise,1
1559,2022-09-20,North America,Acer,Desktop,i3,NVIDIA RTX 2060,32,256,Linux,White,Reseller,Debit Card,668.05,0,668.05,2,1336.1,Student,1
1560,2020-04-07,Europe,Microsoft,Desktop,i9,AMD Radeon Vega,8,512,Windows 11,Gray,Online,Debit Card,2617.49,10,2355.74,1,2355.74,Professional,2
1561,2020-08-22,North America,Apple,All-in-One,i7,AMD Radeon Vega,4,256,macOS,Black,Online,PayPal,2898.29,20,2318.63,1,2318.63,Enterprise,2
1562,2021-05-06,North America,Razer,Laptop,i9,Intel Iris,16,512,Windows 11,Silver,Reseller,PayPal,1744.26,0,1744.26,1,1744.26,Enterprise,4
1563,2023-10-07,Asia-Pacific,Acer,Gaming Laptop,i7,Intel Iris,8,2048,macOS,Blue,Online,Debit Card,1175.84,10,1058.26,3,3174.78,Enterprise,5
1564,2025-09-12,Asia-Pacific,Microsoft,All-in-One,i9,NVIDIA GTX 1650,4,1024,Windows 11,Blue,Reseller,Debit Card,1043.54,15,887.01,3,2661.03,Enterprise,5
